puzzle_id,solved,final_fitness,time_seconds,generations_run,population_size,mutation_rate,generations,selection_rate,nb_children,restart_after_n_stagnant
4,0,2,339.47,1000,5000,0.2,1000,0.5,4,150
31,0,4,341.68,1000,5000,0.1,1000,0.4,5,150
28,0,2,341.87,1000,5000,0.2,1000,0.5,4,150
75,0,2,343.34,1000,5000,0.3,1000,0.5,4,150
11,0,4,348.87,1000,5000,0.1,1000,0.1,20,150
91,0,2,351.57,1000,5000,0.3,1000,0.2,10,150
29,0,2,351.71,1000,5000,0.3,1000,0.2,10,150
17,0,2,355.32,1000,5000,0.4,1000,0.2,10,150
71,0,4,358.28,1000,5000,0.1,1000,0.1,20,150
75,0,4,359.21,1000,5000,0.3,1000,0.1,20,150
3,0,2,359.74,1000,5000,0.4,1000,0.1,20,150
86,0,2,362.51,1000,5000,0.4,1000,0.1,20,150
0,0,4,343.36,1000,5000,0.1,1000,0.4,5,150
19,0,2,343.43,1000,5000,0.1,1000,0.4,5,150
12,0,3,337.23,1000,5000,0.1,1000,0.5,4,150
43,0,2,349.83,1000,5000,0.2,1000,0.5,4,150
89,0,2,355.91,1000,5000,0.2,1000,0.2,10,150
44,0,2,349.61,1000,5000,0.4,1000,0.4,5,150
68,0,2,346.06,1000,5000,0.3,1000,0.5,4,150
43,0,3,358.06,1000,5000,0.3,1000,0.2,10,150
5,0,4,349.19,1000,5000,0.1,1000,0.4,5,150
11,0,2,362.58,1000,5000,0.4,1000,0.1,20,150
48,0,2,367.06,1000,5000,0.4,1000,0.1,20,150
70,0,4,367.14,1000,5000,0.3,1000,0.1,20,150
80,0,2,343.0,1000,5000,0.2,1000,0.4,5,150
73,0,2,350.28,1000,5000,0.4,1000,0.4,5,150
90,0,2,355.42,1000,5000,0.3,1000,0.2,10,150
58,0,4,338.43,1000,5000,0.1,1000,0.4,5,150
37,0,3,359.3,1000,5000,0.4,1000,0.2,10,150
5,0,4,365.95,1000,5000,0.3,1000,0.1,20,150
20,0,4,354.33,1000,5000,0.4,1000,0.4,5,150
29,0,4,357.51,1000,5000,0.3,1000,0.1,20,150
45,0,2,348.28,1000,5000,0.4,1000,0.4,5,150
48,0,2,361.8,1000,5000,0.4,1000,0.1,20,150
89,0,2,340.04,1000,5000,0.1,1000,0.4,5,150
85,0,2,349.97,1000,5000,0.3,1000,0.2,10,150
77,0,2,353.59,1000,5000,0.3,1000,0.1,20,150
48,0,2,341.0,1000,5000,0.3,1000,0.5,4,150
68,0,5,353.28,1000,5000,0.2,1000,0.2,10,150
81,0,2,339.49,1000,5000,0.1,1000,0.4,5,150
20,0,2,355.92,1000,5000,0.4,1000,0.2,10,150
51,0,2,346.18,1000,5000,0.3,1000,0.4,5,150
8,0,2,344.24,1000,5000,0.1,1000,0.4,5,150
7,0,2,354.05,1000,5000,0.3,1000,0.4,5,150
87,0,2,358.22,1000,5000,0.4,1000,0.2,10,150
4,0,4,353.76,1000,5000,0.4,1000,0.2,10,150
27,0,2,345.41,1000,5000,0.3,1000,0.4,5,150
72,0,2,360.56,1000,5000,0.3,1000,0.2,10,150
18,1,0,236.39,695,5000,0.3,1000,0.5,4,150
50,0,2,345.32,1000,5000,0.4,1000,0.5,4,150
17,0,2,340.71,1000,5000,0.1,1000,0.4,5,150
74,0,2,336.49,1000,5000,0.1,1000,0.4,5,150
74,0,2,337.19,1000,5000,0.2,1000,0.5,4,150
46,0,2,337.56,1000,5000,0.1,1000,0.5,4,150
71,0,2,358.38,1000,5000,0.4,1000,0.2,10,150
11,0,2,350.94,1000,5000,0.4,1000,0.5,4,150
14,0,4,357.06,1000,5000,0.2,1000,0.1,20,150
80,0,2,351.44,1000,5000,0.1,1000,0.2,10,150
17,0,2,367.34,1000,5000,0.4,1000,0.2,10,150
87,0,4,359.45,1000,5000,0.2,1000,0.2,10,150
76,0,2,351.61,1000,5000,0.2,1000,0.5,4,150
76,0,2,352.97,999,5000,0.1,1000,0.5,4,150
67,0,2,359.44,1000,5000,0.3,1000,0.5,4,150
49,0,4,376.24,1000,5000,0.3,1000,0.1,20,150
87,0,4,370.84,1000,5000,0.1,1000,0.1,20,150
14,0,2,367.85,1000,5000,0.3,1000,0.4,5,150
87,0,2,378.51,1000,5000,0.4,1000,0.1,20,150
55,0,2,363.78,1000,5000,0.2,1000,0.4,5,150
58,0,2,365.39,1000,5000,0.2,1000,0.2,10,150
92,0,2,370.51,1000,5000,0.1,1000,0.1,20,150
64,0,4,375.89,1000,5000,0.2,1000,0.2,10,150
80,0,2,378.5,1000,5000,0.4,1000,0.1,20,150
81,0,2,352.55,1000,5000,0.2,1000,0.4,5,150
19,0,2,364.03,1000,5000,0.3,1000,0.2,10,150
20,0,2,359.28,1000,5000,0.4,1000,0.4,5,150
76,0,4,365.32,1000,5000,0.1,1000,0.1,20,150
62,0,2,351.94,1000,5000,0.3,1000,0.4,5,150
39,0,2,357.78,1000,5000,0.4,1000,0.4,5,150
14,0,4,365.34,1000,5000,0.1,1000,0.1,20,150
72,0,2,364.65,1000,5000,0.4,1000,0.2,10,150
7,0,4,373.16,1000,5000,0.4,1000,0.2,10,150
10,0,2,366.94,1000,5000,0.3,1000,0.1,20,150
8,0,2,357.88,1000,5000,0.4,1000,0.5,4,150
16,0,3,362.34,1000,5000,0.1,1000,0.2,10,150
70,0,2,352.85,1000,5000,0.4,1000,0.5,4,150
27,0,4,347.43,1000,5000,0.2,1000,0.5,4,150
33,0,2,361.94,1000,5000,0.2,1000,0.2,10,150
51,0,3,347.08,1000,5000,0.2,1000,0.4,5,150
91,0,2,361.31,1000,5000,0.3,1000,0.2,10,150
15,0,2,350.92,1000,5000,0.3,1000,0.5,4,150
56,0,2,354.71,1000,5000,0.4,1000,0.4,5,150
28,0,2,358.92,1000,5000,0.4,1000,0.2,10,150
43,0,2,365.78,1000,5000,0.3,1000,0.1,20,150
75,0,7,363.17,1000,5000,0.1,1000,0.1,20,150
9,0,5,365.69,1000,5000,0.1,1000,0.1,20,150
29,0,5,367.83,1000,5000,0.2,1000,0.1,20,150
4,0,4,361.82,1000,5000,0.3,1000,0.1,20,150
9,0,4,349.11,1000,5000,0.3,1000,0.4,5,150
27,0,2,350.53,1000,5000,0.4,1000,0.5,4,150
92,0,4,352.96,1000,5000,0.1,1000,0.2,10,150
31,0,2,345.13,1000,5000,0.4,1000,0.5,4,150
52,0,2,348.02,1000,5000,0.4,1000,0.5,4,150
12,0,2,354.47,1000,5000,0.3,1000,0.2,10,150
52,0,2,338.79,1000,5000,0.2,1000,0.5,4,150
45,0,2,347.17,1000,5000,0.2,1000,0.5,4,150
84,0,2,361.23,1000,5000,0.4,1000,0.1,20,150
93,0,2,349.27,1000,5000,0.3,1000,0.5,4,150
86,0,3,359.65,1000,5000,0.2,1000,0.1,20,150
7,0,4,365.8,1000,5000,0.4,1000,0.1,20,150
93,0,2,395.33,1000,5000,0.1,1000,0.5,4,150
13,0,4,412.96,1000,5000,0.3,1000,0.4,5,150
17,0,2,406.8,1000,5000,0.3,1000,0.5,4,150
24,0,2,417.49,1000,5000,0.3,1000,0.2,10,150
23,0,2,428.22,1000,5000,0.2,1000,0.5,4,150
31,0,2,430.59,1000,5000,0.3,1000,0.5,4,150
56,0,2,450.44,1000,5000,0.3,1000,0.1,20,150
11,0,2,440.21,1000,5000,0.1,1000,0.1,20,150
6,0,3,462.62,1000,5000,0.4,1000,0.1,20,150
52,0,2,449.39,1000,5000,0.2,1000,0.2,10,150
61,0,2,445.63,1000,5000,0.4,1000,0.5,4,150
7,0,2,435.86,1000,5000,0.1,1000,0.5,4,150
48,0,3,396.25,1000,5000,0.2,1000,0.2,10,150
89,0,2,377.18,1000,5000,0.2,1000,0.5,4,150
36,0,2,385.74,1000,5000,0.3,1000,0.5,4,150
49,0,6,398.06,1000,5000,0.1,1000,0.1,20,150
19,0,2,364.73,1000,5000,0.4,1000,0.5,4,150
27,0,3,360.05,1000,5000,0.2,1000,0.4,5,150
74,0,2,363.88,1000,5000,0.2,1000,0.1,20,150
40,0,4,367.52,1000,5000,0.2,1000,0.1,20,150
64,0,2,361.58,1000,5000,0.4,1000,0.5,4,150
6,0,5,374.25,1000,5000,0.2,1000,0.1,20,150
7,0,4,363.4,1000,5000,0.2,1000,0.2,10,150
8,0,4,356.9,1000,5000,0.2,1000,0.2,10,150
15,0,2,341.47,1000,5000,0.1,1000,0.5,4,150
33,0,2,351.68,1000,5000,0.3,1000,0.4,5,150
16,0,2,341.96,1000,5000,0.1,1000,0.5,4,150
30,0,2,352.92,1000,5000,0.3,1000,0.4,5,150
79,0,4,362.41,1000,5000,0.2,1000,0.1,20,150
58,0,4,350.7,1000,5000,0.2,1000,0.4,5,150
9,0,4,351.87,1000,5000,0.3,1000,0.4,5,150
44,0,2,350.7,1000,5000,0.1,1000,0.2,10,150
36,0,2,358.6,1000,5000,0.4,1000,0.4,5,150
78,0,2,351.67,1000,5000,0.2,1000,0.4,5,150
84,0,2,352.0,1000,5000,0.2,1000,0.4,5,150
33,0,4,353.41,1000,5000,0.1,1000,0.2,10,150
34,0,4,352.04,1000,5000,0.1,1000,0.2,10,150
77,0,2,348.51,1000,5000,0.2,1000,0.4,5,150
81,0,2,349.81,1000,5000,0.1,1000,0.2,10,150
11,0,2,360.52,1000,5000,0.2,1000,0.1,20,150
0,0,2,364.04,1000,5000,0.2,1000,0.1,20,150
69,0,2,354.99,1000,5000,0.1,1000,0.2,10,150
55,0,3,344.08,1000,5000,0.1,1000,0.2,10,150
47,0,4,352.97,1000,5000,0.2,1000,0.1,20,150
46,0,2,338.24,1000,5000,0.2,1000,0.4,5,150
5,0,2,344.76,1000,5000,0.1,1000,0.2,10,150
26,0,3,342.03,1000,5000,0.4,1000,0.4,5,150
71,0,2,306.26,1000,5000,0.4,1000,0.4,5,150
4,0,2,277.66,1000,5000,0.1,1000,0.5,4,150
42,0,2,270.8,1000,5000,0.1,1000,0.5,4,150
86,0,2,267.99,1000,5000,0.1,1000,0.5,4,150
